respondent_id,h1n1_vaccine,seasonal_vaccine
26707,0.035570465273679984,0.03170853961123169
26708,0.015095203823117945,0.014130859671280152
26709,0.550298506195464,0.46620289811092214
26710,0.9076881006090554,0.9403832617139007
26711,0.16880053398041786,0.13028847699005802
26712,0.5276008745928632,0.4446613050297564
26713,0.4441619097330972,0.6905084474115777
26714,0.02603320774681568,0.0283938866169429
26715,0.0016819900902353272,0.004376612521072115
26716,0.1384370344975881,0.12833763814195712
26717,0.0014452744018546536,0.00458075438526728
26718,0.16880053398041786,0.12013271044983334
26719,0.10469727095779105,0.12741493735563972
26720,0.05503882727405643,0.042388576577759886
26721,0.8436963583986633,0.867534243488075
26722,0.0009658089927727169,0.004180444256710108
26723,0.9739957742911262,0.9809071454107351
26724,0.05503882727405643,0.055885184703909616
26725,0.015095203823117945,0.016740500149542623
26726,0.00037353467151725306,0.001583467059990283
26727,0.21888619971194698,0.19132516981306322
26728,0.3370943169659145,0.2819524720453425
26729,0.02587661896394332,0.02425488800666427
26730,0.02587661896394332,0.02425488800666427
26731,4.1673902155115456e-05,0.0005360994747886763
26732,0.003300193084767965,0.062004216604821895
26733,0.9904149587188795,0.9918198476464962
26734,0.9591370827066635,0.9560518862378737
26735,0.10430172544337556,0.09167365527754676
26736,0.040500863784010015,0.033031634629393306
26737,0.0012392545887155277,0.004036085440847034
26738,0.985579459717765,0.9892045222696637
26739,0.040500863784010015,0.03612639028015848
26740,0.04074224783487133,0.03670533311195904
26741,0.472018577740869,0.45502630459521504
26742,0.040500863784010015,0.041541665042287464
26743,0.0016639712122859488,0.005992141522086057
26744,0.043480635734602674,0.05378846380395214
26745,0.5019972836807779,0.5930618778456687
26746,3.249303750669085e-10,4.734605776943944e-07
26747,0.040500863784010015,0.041541665042287464
26748,0.09612756449406822,0.07756186248172009
26749,0.11868293003124614,0.13113099459665042
26750,0.9772410197046413,0.9839666736313974
26751,0.3370943169659145,0.2819524720453425
26752,0.00013858899001947038,0.0011687595047932538
26753,0.3370943169659145,0.3065489933024215
26754,0.006814198606896579,0.018431208412167985
26755,0.005061151782344648,0.019461678161330723
26756,4.899222454734432e-05,0.0004622446048631446
26757,0.9772410197046413,0.9786747567758497
26758,0.8310291300055691,0.8863243005153736
26759,0.00291163552308399,0.0064626732802227395
26760,5.473131863802315e-06,0.00012168846320946184
26761,0.3356379751481525,0.5998017723544148
26762,0.020310880889827417,0.03171623613541061
26763,0.9939565771131086,0.9947862357174159
26764,0.9977924427037559,0.9978350703124248
26765,0.00017448055725652272,0.010565377589117601
26766,0.0685662610828389,0.05203579239960921
26767,0.98682195130726,0.9866213077272235
26768,0.005289348863125905,0.016490757669797865
26769,0.055361857839012596,0.043063390382781966
26770,0.6186580409476881,0.5935804502646211
26771,0.015095203823117945,0.0188068551378808
26772,0.035358592845985366,0.03120585664786566
26773,0.005289348863125905,0.019527583853891913
26774,0.00015628487083987555,0.0019851718413505413
26775,0.10430172544337556,0.09167365527754676
26776,0.8343357195984432,0.8805860532405968
26777,0.5300466712553007,0.5453361402113532
26778,0.44732930439304025,0.36337182803071405
26779,0.1384370344975881,0.09918150212059598
26780,0.5872866847744008,0.5806778393362918
26781,0.0003280025878852122,0.004346167055030142
26782,0.02587661896394332,0.027942235239487405
26783,0.02587661896394332,0.027942235239487405
26784,0.10430172544337556,0.09731519639018557
26785,2.74371817295648e-08,6.0710809001522124e-05
26786,0.0685662610828389,0.06121096256121827
26787,0.03251259927234683,0.03609757699867506
26788,0.10469727095779105,0.12741493735563972
26789,0.00043030150778025893,0.004082692766580828
26790,0.02587661896394332,0.027942235239487405
26791,0.02587661896394332,0.02215372673392142
26792,0.5276008745928632,0.4446613050297564
26793,0.1693944208489722,0.190048348048636
26794,0.9904149587188795,0.990552599620064
26795,0.12684285283339647,0.1807795676483012
26796,0.0012392545887155277,0.003779465131387974
26797,0.12614713558950802,0.1494740522253391
26798,0.24326187540616254,0.20234644624475467
26799,5.634035689660308e-05,0.0011413890825829496
26800,0.12665550882653784,0.192269738489168
26801,0.5641139836818355,0.6858582141488568
26802,0.003405590971414695,0.009565572433301181
26803,0.040500863784010015,0.033031634629393306
26804,0.015095203823117945,0.014130859671280152
26805,0.06827934471865979,0.05334594117039301
26806,0.15670142745999247,0.18044071387815813
26807,0.6607592449831318,0.5915904309428509
26808,0.3370943169659145,0.2819524720453425
26809,0.970049299589861,0.9625354537282563
26810,0.011800520726254387,0.014630974577263377
26811,0.003405590971414695,0.008960542175750298
26812,0.12126937203219025,0.14700058370057964
26813,0.3012774577652338,0.6362353495896089
26814,0.005947390602293259,0.010680619793642248
26815,0.015095203823117945,0.016740500149542623
26816,0.019684079509432236,0.04567883962956958
26817,0.10430172544337556,0.10202957275575542
26818,0.10430172544337556,0.07831321133793605
26819,0.8425884866251918,0.7364996532906548
26820,0.040500863784010015,0.03899374792645966
26821,0.05503882727405643,0.04995234405195017
26822,0.14991359148174355,0.1295872655359212
26823,0.15368429971638997,0.48379305877414613
26824,0.046617428931457296,0.06654813443918216
26825,0.6916501643072024,0.8079110685892958
26826,0.03189261584231822,0.04706353342787437
26827,0.06827934471865979,0.05334594117039301
26828,0.3370943169659145,0.3065489933024215
26829,0.9787525002125314,0.9889127341520056
26830,0.010263266730883777,0.016777932939852736
26831,0.035358592845985366,0.037775205122722345
26832,0.472018577740869,0.39688695457231277
26833,5.75033044834263e-05,0.00069457353257487
26834,0.5818288925994936,0.7603514934968542
26835,0.7933205165433524,0.8939528128850331
26836,0.05503882727405643,0.055885184703909616
26837,9.975506306434985e-06,0.0009623410097364954
26838,0.040500863784010015,0.04368488366066758
26839,0.007225858518816306,0.020407802511498107
26840,0.040500863784010015,0.033031634629393306
26841,0.6294558869233051,0.8049875333188558
26842,0.02587661896394332,0.02620562006384837
26843,0.00013858899001947038,0.0009213822496581175
26844,0.0045770616895108385,0.014027217783104645
26845,0.11868293003124614,0.14523153780495113
26846,0.01716975391424754,0.02622599282220841
26847,0.5276789780304761,0.5604384128522717
26848,0.006304749637553833,0.01810151475059532
26849,0.00011192908544328182,0.0026086833314550315
26850,0.9938960248571048,0.9935253787311055
26851,0.0016819900902353272,0.003452614589922775
26852,0.0043172041505812045,0.007346063813120148
26853,0.709061302058996,0.578183802234881
26854,0.0016639712122859488,0.004487727718135105
26855,0.9772410197046413,0.9831162994173457
26856,0.014703172656051741,0.031471085536438084
26857,0.412914573175385,0.3111887289551424
26858,0.005327223879834244,0.015013045667936452
26859,0.040500863784010015,0.033031634629393306
26860,0.00010435970195282796,0.0020172147878905196
26861,0.0012392545887155277,0.004036085440847034
26862,0.10430172544337556,0.07831321133793605
26863,0.3370943169659145,0.2819524720453425
26864,0.5276789780304761,0.6179869053991398
26865,4.899222454734432e-05,0.0004622446048631446
26866,0.3370943169659145,0.3065489933024215
26867,0.023775014057659926,0.025028441942953526
26868,0.8425884866251918,0.7889268397694963
26869,0.10430172544337556,0.09167365527754676
26870,0.8955848480263912,0.9296020342443716
26871,0.005080432155503296,0.009333398640012817
26872,0.10527928280212608,0.10857664773126889
26873,0.8167964193654895,0.8010168609722338
26874,0.040500863784010015,0.03899374792645966
26875,0.983402340929433,0.9869201415967589
26876,0.003405590971414695,0.008282605678112306
26877,0.02226936316354321,0.028543354331032153
26878,0.20277188813587377,0.1698245413033082
26879,9.485997441032692e-06,0.00019232937535983
26880,0.01469107464228599,0.02715931469004797
26881,0.0016819900902353272,0.004376612521072115
26882,0.015095203823117945,0.016740500149542623
26883,0.02587661896394332,0.02620562006384837
26884,3.249303750669085e-10,4.3734035409303157e-07
26885,0.10445995944406622,0.10113560821955551
26886,0.050284841347187394,0.06824013920736831
26887,0.9772410197046413,0.9839666736313974
26888,0.9977924427037559,0.9974294964594375
26889,0.004618691727184912,0.008978184601491386
26890,0.035570465273679984,0.0364866553292626
26891,0.550298506195464,0.4302816264999056
26892,0.04982326944983182,0.07211439941684439
26893,0.015095203823117945,0.016740500149542623
26894,0.3370943169659145,0.24844596987190673
26895,0.027811627693940213,0.04071625210848977
26896,0.015095203823117945,0.014130859671280152
26897,0.0016755851730993134,0.007245948392682641
26898,0.06827934471865979,0.05334594117039301
26899,0.023775014057659926,0.021154608949564845
26900,0.040500863784010015,0.03899374792645966
26901,5.75033044834263e-05,0.0006170076413460312
26902,0.472018577740869,0.45502630459521504
26903,0.16479046474914,0.23397117481836896
26904,0.011800520726254387,0.019469193228082892
26905,0.7780539771560516,0.8978772046199639
26906,0.02587661896394332,0.029405357397523313
26907,0.0019270490150994895,0.00932050008650943
26908,0.050284841347187394,0.06824013920736831
26909,0.000284814501137546,0.015499649002227129
26910,0.09221026695425166,0.08277875920576738
26911,0.040500863784010015,0.03612639028015848
26912,0.9313561959004141,0.9533579532378512
26913,0.9915968435711484,0.9923623331459164
26914,0.040500863784010015,0.033031634629393306
26915,0.8182926300694312,0.7733176097753728
